Bezirk Tempelhof-Schˆneberg: Energieverbrauchs¸bersicht bezirklicher Geb‰ude f¸r 2010-2019;;;;;;;;;;;;;;;;
ID;Liegenschaft;Adresse;PLZ;Bauwerk;"Energieart
(W‰rmeverbrauch ist witterungsbereinigt)";Einheit;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
60;Friedhof 2;Eythstraﬂe 7/9;12105;Verwaltungsgeb‰ude;W‰rme;kWh;60.107;69.360;67.071;69.214;68.080;0;0;0;0;0
60;Friedhof 2;Eythstraﬂe 7/9;12105;Verwaltungsgeb‰ude;Strom;kWh;2.269;2.092;2.193;2.174;2.184;1.033;0;0;0;0
61;Paul-Simmel-Schule;Felixstraﬂe 26;12099;Schulgeb‰ude;W‰rme;kWh;625.042;644.477;582.971;778.983;636.905;597.800;545.890;645.872;705.402;778.008
61;Paul-Simmel-Schule;Felixstraﬂe 26;12099;Schulgeb‰ude;Strom;kWh;75.703;76.606;76.831;73.659;74.591;70.044;81.514;92.466;68.422;74.379
62;Paul-Simmel-Schule;Felixstraﬂe 26;12099;Mobile Klassen;W‰rme;kWh;75.359;77.702;70.286;93.919;76.789;72.074;65.816;77.870;85.047;93.801
62;Paul-Simmel-Schule;Felixstraﬂe 26;12099;Mobile Klassen;Strom;kWh;9.127;9.236;9.263;8.881;8.993;8.445;9.828;11.148;8.249;8.968
63;Paul-Simmel-Schule;Felixstraﬂe 26;12099;Sporthalle;W‰rme;kWh;175.657;181.119;163.834;218.919;178.991;168.001;153.413;181.511;198.241;218.645
63;Paul-Simmel-Schule;Felixstraﬂe 26;12099;Sporthalle;Strom;kWh;21.275;21.529;21.592;20.700;20.962;19.685;22.908;25.986;19.229;20.903
296;Paul-Simmel-Schule;Felixstraﬂe 26;12099;MEB;Strom;kWh;0;0;0;0;0;0;0;7.433;21.615;0
64;Teltow-Schule;Feurigstraﬂe 57;10827;Sporthalle;W‰rme;kWh;118.230;116.500;101.751;127.120;152.327;142.013;133.341;128.363;109.075;104.345
64;Teltow-Schule;Feurigstraﬂe 57;10827;Sporthalle;Strom;kWh;9.327;10.401;10.333;11.308;10.903;10.928;11.365;11.457;13.351;13.151
66;Teltow-Schule;Feurigstraﬂe 57;10827;Schulgeb‰ude;W‰rme;kWh;590.192;581.553;507.929;634.569;760.397;708.913;665.625;640.772;544.489;520.876
